#;LLR;kumul.;Häufig;links;rechts;Kookkurrenzen;syntagmatische Muster;

;;;54307;10;-3;-3;Stunden zweieinhalb ; 80% Drehtag zweieinhalb Stunden in die|der Maske setzen

;;;54532;225;-3;-3;Stunden ; 83% Stunden [in der] Maske

;116;621;54547;15;-5;5;Fratze;100% die Maske von der ... Fratze

;117;618;54584;37;-5;5;desinfizieren Hände ; 64% Abstand halten Maske [auf|tragen ...] Hände [...]desinfizieren

;;;54595;11;-5;5;desinfizieren ; 63% Maske tragen ... desinfizieren und ...

;118;613;54607;12;-5;5;Wolke Manfred ; 75% Maske und sein|dessen Erfolgstrainer|Trainer ManfredWolke

;;;54640;33;-5;5;Wolke ; 51% Wolke ... Maske in

;119;608;54646;6;-1;-1;Toralf Matuszewski ;100% Fridjof Matuszewski FDP und Toralf Maske Bündnis ...

;;;54690;44;-1;-1;Toralf ;100% Toralf Maske ... Neustrelitz

;120;602;55273;583;-2;-2;durch; 63% durch [die ...] Maske

;121;596;55308;35;-5;5;Mindestabstand; 68% ohne|mit Maske und der Mindestabstand

;122;594;55329;21;-1;-1;afrikanische; 95% afrikanische [...] Maske

;123;591;55386;57;1;1;abzunehmen; 92% seine|die Maske [...] abzunehmen

;124;577;55625;239;-5;-2;Wer; 99% Wer [... keine|die] Maske trägt ...

;125;569;55626;1;4;4;Fred;100% Maske ... Fred

;126;565;55666;40;1;5;heruntergerissen;100% die Maske [...] heruntergerissen

;127;562;55682;16;-5;5;Bühnenbau; 62% den ... Bühnenbau [und] Maske

;128;559;55733;51;-5;5;geschminkt; 74% in|In die|der Maske [...] geschminkt und

;129;554;55794;61;-5;4;Kostümen; 62% Kostümen [und] Maske

;130;547;55798;4;-5;-1;Boxkampf; 75% Boxkampf [...] Maske

;131;546;55833;35;1;1;herunter; 94% die Maske [...] herunter und

;132;544;55845;12;2;2;roten Todesgriff ;100% Im Todesgriff der roten Maske The Oblong

;;;55872;27;2;2;roten ; 70% mit der roten [... und die] Maske

;133;537;55873;1;2;2;Fu-Manchu;100% Maske ... Fu-Manchu

;134;534;55888;15;-4;5;verdeckt; 60% die|der Maske [die|einen Großteil des Gesichts] verdeckt

;135;530;55921;33;-5;5;Abstandsregeln; 69% frei mit|ohne Maske [tragen|und Einhalten von]Abstandsregeln bewegen

;136;528;55968;47;1;1;abnimmt; 95% die|seine Maske [...] abnimmt und

;137;519;56057;89;-1;-1;Jede;100% Jede [...] Maske wird ...

;138;515;56072;15;-5;5;Sauerstoff; 80% mit ... Maske mit und Sauerstoff

;139;511;56144;72;-5;-2;Fahrgäste; 98% Fahrgäste ohne die ... Maske

;140;504;56177;33;-5;-2;Nasenbeinbruch; 93% nach seinem Nasenbeinbruch ... mit ... Maske

;141;503;56189;12;-5;5;Einkaufen Begrüßung momentan ;100% Begrüßung oder das Einkaufen ohne Maske momentankeine guten

;;;56239;50;-5;5;Einkaufen ; 52% Einkaufen mit|ohne Maske und

;142;493;56273;34;-5;4;Peeling; 79% Peeling [und ...] Maske und

;143;490;56310;37;-2;-2;Imkerbundes Peter ; 78% des Deutschen Imkerbundes Peter Maske

;;;56312;2;-2;-2;Imkerbundes ;100% Imkerbundes laut Maske

;144;482;56337;25;-2;-2;Weltmeister; 56% Maske [bleibt ...] Weltmeister

;145;479;56341;4;-5;5;Banderas Antonio ; 50% Maske ... Antonio Banderas

;;;56345;4;-5;5;Banderas ; 50% Maske ... Banderas

;146;478;56395;50;-1;-1;schönste; 94% die schönste [...] Maske

;147;476;56399;4;-2;-2;Ex-Weltmeister; 50% Maske dann wirkt der Ex-Weltmeister

;148;476;56420;21;2;5;Fawkes Guy ; 95% die Maske [des von] Guy Fawkes

;;;56422;2;2;5;Fawkes ; 50% Maske ... Fawkes

;149;471;56494;72;-5;-2;zieht; 70% zieht [... die] Maske

;150;470;56496;2;-1;-1;Jakob Kinderarzt Berufsverbands ;100% Kinderarzt Jakob Maske Sprecher des BerlinerBerufsverbands

;;;56510;14;-1;-1;Jakob Kinderarzt ; 57% der ... Kinderarzt Jakob Maske

;;;56511;1;-1;-1;Jakob Jugendärzte Berufsverband ;100% Jakob Maske ... Berufsverband ... Jugendärzte

;;;56524;13;-1;-1;Jakob Jugendärzte ;100% Kinder und Jugendärzte [BVKJ für Berlin] Jakob Maskesagt|den Ausbruch

;;;56529;5;-1;-1;Jakob Berufsverbands ;100% Jakob Maske Berliner Sprecher des Berufsverbands der

;;;56538;9;-1;-1;Jakob Berufsverband ;100% sagte Jakob Maske vom Berufsverband der Kinder

;;;56569;31;-1;-1;Jakob ; 96% sagt Jakob [...] Maske

;151;465;56718;149;-1;-1;jede; 83% jede [...] Maske

;152;465;56771;53;-4;5;Brille; 56% mit|die Brille [und ...] Maske

;153;461;56775;4;1;2;eingeatmet;100% der Maske ... und wieder eingeatmet

;154;459;56806;31;-1;-1;goldenen; 96% der goldenen [...] Maske von

;155;454;56826;20;1;4;verantwortlich zeichnete ; 55% für|Für die Maske zeichnete ... verantwortlich und

;;;56845;19;1;4;verantwortlich zeichnet ; 57% Für|für die Maske zeichnet ... verantwortlich

;;;56988;143;1;4;verantwortlich ; 72% Für|für die Maske [war ...] verantwortlich

;156;454;57019;31;1;1;anziehen; 90% keine|die Maske [...] anziehen

;157;451;57237;218;-3;-2;ihm; 63% ihm [... die] Maske

;158;443;59041;1804;-4;-2;sich; 55% sich [... die] Maske

;159;443;59047;6;-5;3;Cro wurd ;100% wurd als Teenager bekannt keine Maske so wie Cro undkam

;;;59074;27;-5;3;Cro ; 92% Cro ohne mit|die Maske

;160;438;59183;109;-5;5;Schauspieler; 64% Schauspieler [... in|die|der] Maske

;161;436;59194;11;-5;5;Darth Vader ; 81% die|zerstörte Maske von Darth Vader ... weitere

;;;59201;7;-5;5;Darth Vaders ;100% Darth Vaders [...] Maske

;;;59202;1;-5;5;Darth ;100% Maske ... Darth

;162;435;59210;8;1;2;gefallen fassungslos ;100% fassungslos darüber dass jetzt die Maske gefallen ist bei

;;;59277;67;1;2;gefallen ; 98% ist die Maske [ist] gefallen

;163;435;59286;9;-5;5;Mimik Gestik ; 44% über Gestik und Mimik ohne Maske 30 bis

;;;59311;25;-5;5;Mimik ; 76% die Maske [und die] Mimik

;164;434;59330;19;1;5;steckte; 89% In|in|Boom der|um Maske [noch in den Kinderschuhen]steckte

;165;432;59353;23;2;3;Clowns; 78% in der|die Maske des|eines ... Clowns und

;166;431;59359;6;-1;-1;genähte;100% die selbst genähte Maske

;167;429;59360;1;2;2;Roten;100% Maske ... Roten

;168;427;59362;2;-5;5;Schal Tuch ; 50% Maske Schal ... Tuch

;;;59388;26;-5;5;Schal ; 69% den|mit ... Schal [hoch|oder wenn die|als] Maske nach dem

;169;424;59420;32;2;2;Fetisch Afrikanische Afrikanischen Kunst Dorf ;100% Afrikanischen Dorf Afrikanische Kunst zwischen Maske undFetisch

;;;59424;4;2;2;Fetisch Afrikanische Kunst ;100% Afrikanische Kunst zwischen Maske und Fetisch

;;;59429;5;2;2;Fetisch ; 60% Maske [...] Fetisch

;170;423;59454;25;1;5;herunterzureißen;100% die Maske [...] herunterzureißen

