#;LLR;kumul.;Häufig;links;rechts;Kookkurrenzen;syntagmatische Muster;


;1036;61;75465;4;-3;-3;Abschminken; 75% Abschminken in die Maske

;1037;61;75469;4;-2;-2;Oberkante; 75% die Oberkante der Maske

;1038;61;75476;7;-2;-2;Einkauf;100% Einkauf ohne Maske

;1039;60;75477;1;1;1;abreissen;100% Maske ... abreissen

;1040;60;75481;4;-5;3;Kulisse; 50% Maske [...] Kulisse

;1041;60;75483;2;-5;5;Schnurrbart; 50% Maske ... Schnurrbart

;1042;60;75484;1;1;1;getarnte;100% getarnte ... Maske

;1043;60;75485;1;-3;3;Abschiedshymne;100% Maske ... Abschiedshymne

;1044;60;75486;1;3;3;Tonerde;100% Maske ... Tonerde

;1045;60;75493;7;1;1;abgezogen;100% die Maske [...] abgezogen

;1046;60;75497;4;-5;4;Mykene;100% Maske aus in Mykene

;1047;60;75499;2;-5;4;Arlecchino;100% Arlecchino ... Maske

;1048;60;75507;8;-4;5;Satyr; 75% Satyr [mit der] Maske Festspiel

;1049;60;75510;3;1;5;Wafer;100% Maske ... Wafer

;1050;60;75516;6;-5;-2;Biden Joe ; 83% Joe Biden mit|nimmt ... Maske

;;;75517;1;-5;-2;Biden ;100% Biden ... Maske

;1051;60;75519;2;-3;-1;getragener;100% getragener Maske

;1052;59;75529;10;-5;-2;Motiv;100% dem Motiv der Maske

;1053;59;75533;4;1;5;aufgetragen;100% Maske [...] aufgetragen

;1054;59;75546;13;1;3;Visier; 76% mit Maske oder und mit ... Visier

;1055;59;75551;5;4;5;12; 60% Maske [...] 12

;1056;59;75599;48;-4;-3;denen; 89% in denen [... die] Maske

;1057;59;75601;2;-5;5;angemalt; 50% Maske ... angemalt

;1058;59;75608;7;-5;-4;Sein; 85% Sein ... Maske

;1059;59;75613;5;1;1;verzichtet; 80% auf die Maske [... und ...] verzichtet

;1060;59;75614;1;-4;5;Totenschädel;100% Totenschädel ... Maske

;1061;59;75616;2;-5;5;Bühnengestaltung;100% Maske ... Bühnengestaltung

;1062;59;75618;2;-4;5;Westfalenhalle;100% Westfalenhalle ... Maske

;1063;59;75619;1;-3;-2;Box-Stars;100% Box-Stars ... Maske

;1064;59;75646;27;-5;-2;Schüler; 81% Schüler [mit|ohne|die|keine] Maske

;1065;59;75650;4;-1;-1;sitzenden;100% der ... sitzenden Maske

;1066;59;75653;3;2;2;Wahnsinns;100% Maske des Wahnsinns

;1067;59;75654;1;-1;-1;Jugend-Theater-Festival;100% Jugend-Theater-Festival Maske

;1068;59;75656;2;2;2;Retters;100% Maske ... Retters

;1069;59;75659;3;-1;-1;auffälligen;100% auffälligen Maske

;1070;59;75660;1;-4;5;Ghostface;100% Maske ... Ghostface

;1071;59;75661;1;-5;5;Killah;100% Maske ... Killah

;1072;59;75666;5;3;3;proppenvolle;100% in die Maske dann der proppenvolle Saal dazu

;1073;59;75668;2;-5;3;Händedesinfektion; 50% Maske Händedesinfektion

;1074;59;75672;4;-5;5;Sicherheitsabstände; 75% Maske und Sicherheitsabstände

;1075;58;75675;3;-1;2;benutzte; 66% Maske benutzte

;1076;58;75679;4;-5;4;schlüpfte; 75% schlüpfte immerfort von Maske

;1077;58;75681;2;2;3;Büste;100% Maske ... Büste

;1078;58;75689;8;-5;5;Identität; 75% Maske und Identität

;1079;58;75696;7;3;5;Planche; 85% die Maske auf|quer|stieg über die|von der Planche

;1080;58;75737;41;1;1;bleibt; 53% die Maske [...] bleibt

;1081;58;75741;4;2;4;Bürgers;100% Maske des Bürgers

;1082;58;75742;1;-1;-1;professionellen;100% professionellen Maske

;1083;58;75745;3;1;1;abgeworfen;100% die Maske abgeworfen

;1084;58;75748;3;-4;-1;zieh;100% zieh die Maske

;1085;58;75751;3;-3;2;roter;100% mit roter [...] Maske

;1086;58;75756;5;2;2;Staatstheaters; 80% in der Maske des Staatstheaters

;1087;58;75758;2;4;5;Augenbrauen; 50% Maske ... Augenbrauen

;1088;58;75769;11;-5;5;Schauspielern; 63% den Schauspielern in Kostüm die und Maske und Kostüm

;1089;58;75778;9;3;5;Hals; 77% die Maske um den Hals

;1090;58;75779;1;-1;-1;teuflische;100% teuflische Maske

;1091;58;75780;1;1;5;verkleidete;100% Maske verkleidete

;1092;58;75783;3;2;2;Judika-Rednerin;100% Maske der Judika-Rednerin

;1093;58;75784;1;-5;5;Klassenraum;100% Maske ... Klassenraum

;1094;58;75785;1;-3;5;Ipkiss;100% Maske ... Ipkiss

;1095;58;75789;4;-1;-1;historischer; 75% historischer Maske

;1096;58;75791;2;-1;2;harmlosen;100% Maske des harmlosen

;1097;58;75794;3;3;4;Lesniak Doris ; 66% Maske waren Doris Lesniak

;1098;58;75799;5;2;5;Mottweiler;100% für die Maske zeichnen Anita Heidi|Bongard ... Mottweiler

;1099;58;75805;6;1;5;Maulkorb; 66% die Maske ... Maulkorb

;1100;58;75806;1;4;4;Dabic;100% Maske ... Dabic

;1101;58;75809;3;-2;-2;Reliefstreifen;100% mit schwarz-weißen Reliefstreifen gezierten Maske derSongye

;1102;58;75810;1;-5;-5;Gruppenaktivitäten fünft ;100% Gruppenaktivitäten ... fünft ... Maske

;1103;57;75813;3;-5;5;Heuchelei;100% die Maske ... der ... Heuchelei

;1104;57;75814;1;-5;-2;Miene;100% Maske ... Miene

;1105;57;75840;26;3;3;Hand; 69% die Maske in der Hand

;1106;57;75844;4;-5;-3;indem;100% indem die keine Maske

;1107;57;75847;3;-1;-1;lachenden; 66% Maske des ... lachenden

;1108;57;75849;2;-4;5;Gesichtsausdruck; 50% Maske ... Gesichtsausdruck

;1109;57;75860;11;-4;-2;lasse; 90% lasse ich die Maske fallen und

;1110;57;75861;1;-3;4;herumläuft;100% Maske herumläuft

;1111;57;75865;4;1;1;verpasst; 75% Maske [...] verpasst

;1112;57;75869;4;2;3;Medusa;100% Maske der Medusa

;1113;57;75870;1;-5;3;Lear;100% Lear ... Maske

;1114;57;75877;7;-2;-1;samt; 57% samt [...] Maske

;1115;57;75880;3;-1;-1;dunklen;100% mit der dunklen Maske

;1116;57;75882;2;-5;-3;Darstellern; 50% Maske ... Darstellern

;1117;57;75884;2;1;5;frisiert;100% Maske [...] frisiert

;1118;57;75888;4;1;1;runtergezogen;100% rechten die Maske runtergezogen

;1119;57;75889;1;-3;-1;Paulenz;100% Paulenz ... Maske

;1120;57;75890;1;-5;-4;Bellmann-de;100% Bellmann-de ... Maske

;1121;57;75896;6;1;1;angenäht Schließen Bänder ;100% Bänder zum Schließen an der Maske angenäht

;1122;56;75938;42;-1;-1;neue; 71% die neue [...] Maske

;1123;56;75953;15;-3;-2;Film; 53% Film nicht mit|ganz ohne|der ... Maske

;1124;56;75962;9;-5;-2;Aufführung; 55% Aufführung Beteiligte in|waren Kostüm und der Maske

;1125;56;75968;6;-3;-3;Stunde;100% guten halben Stunde wird in die Maske vom Körper

;1126;56;75971;3;1;1;tragenden;100% Maske tragenden

;1127;56;75973;2;-4;-4;Tipps; 50% Maske ... Tipps

;1128;56;75978;5;-3;-3;Lockenwicklern zugebracht ;100% täglich mit Lockenwicklern in der Maske zugebracht

;1129;56;76001;23;-1;-1;Ulrich; 86% Ulrich [...] Maske

;1130;56;76007;6;-3;3;Dekoration; 50% Maske ... Dekoration

;1131;56;76011;4;-1;3;Jugendtheater-Festival; 75% Jugendtheater-Festival Maske

;1132;56;76012;1;-5;-3;Filmset;100% Filmset ... Maske

;1133;56;76013;1;2;2;Gurkenscheiben;100% Gurkenscheiben ... Maske

;1134;56;76014;1;-5;3;Zülow;100% Zülow ... Maske

;1135;56;76015;1;-1;-1;pseudodemokratische;100% pseudodemokratische Maske

;1136;56;76018;3;2;5;Zunge;100% der Maske am Kirchturm|die Zunge

;1137;56;76019;1;-2;-1;Gentleman-Boxers;100% Gentleman-Boxers Maske

;1138;56;76020;1;2;3;Fernsehstudios;100% Maske ... Fernsehstudios

;1139;56;76023;3;-5;5;Abstandsgebot; 66% Maske und Abstandsgebot

;1140;56;76027;4;2;2;Duftbaum;100% Maske statt Duftbaum

;1141;55;76043;16;1;4;herum; 75% an der Maske [...] herum und lege

;1142;55;76047;4;-2;-2;du dir ; 50% dir eins vor die Maske du

;;;76084;37;-2;-2;du ; 62% du ... die Maske

;1143;55;76145;61;-4;-2;ließ; 75% ließ [... die] Maske fallen

;1144;55;76197;52;-2;-2;sogar; 63% sogar die|mit|ohne Maske

;1145;55;76200;3;-5;5;Bösewicht;100% Bösewicht - mit Maske

;1146;55;76212;12;1;2;obwohl; 58% keine Maske [...] obwohl

;1147;55;76214;2;1;2;vergisst;100% Maske vergisst

;1148;55;76216;2;1;2;Brustpanzer;100% Maske und Brustpanzer

;1149;55;76228;12;-5;-2;gehts; 83% gehts in die Maske

;1150;55;76230;2;-5;-1;Box-Kampf;100% Box-Kampf seit dem Abgang von Maske

;1151;55;76231;1;-4;5;häßliche;100% häßliche Maske

;1152;55;76232;1;-5;-1;Brustschutz;100% Brustschutz ... Maske

;1153;55;76236;4;-2;3;Zbik; 50% Maske und Zbik

;1154;55;76237;1;-3;5;Rückkampf;100% Rückkampf ... Maske

;1155;55;76238;1;2;5;Makonde;100% Maske ... Makonde

;1156;55;76239;1;2;2;Ehrbarkeit;100% Maske ... Ehrbarkeit

;1157;55;76240;1;2;3;Bantugruppe;100% Maske ... Bantugruppe

;1158;55;76242;2;-4;3;Theatertechnik; 50% Maske ... Theatertechnik

;1159;55;76243;1;-5;5;Corona-Zeiten;100% Corona-Zeiten ... Maske

;1160;54;76246;3;-4;5;Hinterkopf;100% Maske am ... Hinterkopf

;1161;54;76257;11;1;1;2; 72% mit ... Maske [...] 2

;1162;54;76260;3;-3;1;verwendete; 66% Maske verwendete

;1163;54;76263;3;-5;5;Idol; 66% Idol Maske

;1164;54;76264;1;-4;3;Weste;100% Weste ... Maske

;1165;54;76267;3;-5;5;Stirn; 66% Maske ... die Stirn

;1166;54;76270;3;2;2;Objektivität;100% Maske der Objektivität

;1167;54;76271;1;-1;-1;stoische;100% stoische Maske

;1168;54;76276;5;-1;-1;fehlende; 80% die fehlende [...] Maske

;1169;54;76283;7;2;4;Stoff; 57% Maske ... aus Stoff

;1170;54;76284;1;-5;5;Vendetta;100% Vendetta (Blutrache)-Maske

;1171;54;76287;3;1;1;zeichnen; 66% Maske [...] zeichnen

;1172;54;76289;2;-5;5;Schreckschusspistole; 50% Maske ... Schreckschusspistole

;1173;54;76291;2;-3;5;Spiderman;100% Maske von Spiderman

;1174;54;76293;2;-1;-1;furchteinflößende;100% furchteinflößende Maske

;1175;54;76295;2;-3;3;Nacktheit;100% Nacktheit ... Maske

;1176;54;76297;2;-2;3;Undurchdringlichkeit; 50% Maske ... Undurchdringlichkeit

;1177;54;76298;1;1;5;entledigen;100% Maske entledigen

;1178;54;76300;2;-1;-1;tönerne;100% tönerne Maske

;1179;54;76302;2;2;2;Tartüfferie;100% Maske als Tartüfferie

;1180;54;76309;7;-2;-2;Reisende; 85% Reisende ohne Maske ermahnt

;1181;54;76314;5;1;3;berühren; 80% Au?Yenseite der Maske nicht berühren

;1182;54;76317;3;-2;-1;phersu;100% etruskischen phersu [gleich] Maske

;1183;54;76321;4;-2;3;Außenseite;100% die Maske mit der Außenseite nach unten

;1184;54;76322;1;-4;4;Händehygiene;100% Maske Händehygiene

;1185;54;76323;1;1;1;undurchlässig;100% undurchlässig ... Maske

;1186;54;76325;2;-1;-1;kegelförmige;100% kegelförmige Maske

;1187;53;76346;21;1;3;erlaubt; 61% ohne|mit Maske [...] erlaubt

;1188;53;76350;4;2;2;bösen;100% Maske des bösen

;1189;53;76386;36;-2;-2;Leben; 61% ein Leben ohne|mit Maske

;1190;53;76411;25;-2;-2;ebenfalls; 60% ebenfalls mit ... Maske

;1191;53;76413;2;2;2;Professionalität;100% Maske ... Professionalität

;1192;53;76422;9;-2;-2;ständig; 66% ständig [die] Maske zu tragen

;1193;53;76425;3;3;4;Lippen; 66% Maske und ... Lippen

;1194;53;76426;1;-5;4;Schlitze;100% Schlitze ... Maske

;1195;53;76427;1;1;1;überm;100% Maske überm

;1196;53;76429;2;-3;5;Amateur; 50% Maske ... Amateur

;1197;53;76433;4;-1;-1;tragische; 75% tragische Maske

;1198;53;76435;2;-5;-2;reiße; 50% Maske ... reiße

;1199;53;76443;8;-5;-3;gings; 87% gings in die Maske

;1200;53;76444;1;-5;3;Halstuch;100% Halstuch ... Maske

;1201;53;76445;1;-3;-2;Friseurtermin;100% Friseurtermin ... Maske

;1202;53;76447;2;2;2;Normalität;100% Normalität ... Maske

;1203;53;76450;3;-5;5;Klassenzimmer; 66% Klassenzimmer und ... Maske

;1204;53;76451;1;2;2;purem;100% Maske ... purem

;1205;53;76453;2;-4;3;Malsaal;100% Malsaal den Fundus die Maske

;1206;53;76454;1;-1;-1;furchteinflößenden;100% furchteinflößenden Maske

;1207;53;76455;1;2;2;Gewöhnlichkeit;100% Maske ... Gewöhnlichkeit

;1208;53;76460;5;-1;-1;vorgeschriebene;100% ohne die vorgeschriebene Maske

;1209;52;76473;13;-2;-1;weder; 53% weder [Kostüm Abstand an|noch ...] Maske dachten ...

;1210;52;76483;10;-5;-2;Teufel; 50% die Maske ... halb ... Teufel

;1211;52;76485;2;2;2;Harmlosigkeit; 50% Maske ... Harmlosigkeit

;1212;52;76489;4;-5;-2;gebeten; 75% gebeten [...] Maske

;1213;52;76496;7;-2;5;Schwert; 71% Schwert [und] Maske

;1214;52;76499;3;-3;-2;Nimm;100% Nimm die Maske

;1215;52;76501;2;1;4;verschwinden; 50% Maske ... verschwinden

;1216;52;76503;2;1;1;zeichnet; 50% Maske ... zeichnet

;1217;52;76505;2;-1;-1;magische; 50% Maske magische

;1218;52;76506;1;2;3;Kriegers;100% Maske ... Kriegers

;1219;52;76509;3;-4;-2;Weigerung;100% Wegen der Weigerung Sauerlands hatte Maske der ...

;1220;52;76510;1;-4;4;Hembrick;100% Maske ... Hembrick

;1221;52;76520;10;-1;-1;Erna;100% den ... Erna Maske zum|den ...

;1222;52;76522;2;-5;5;Profiboxen;100% Maske ... Profiboxen

;1223;52;76523;1;-1;-1;gebastelte;100% gebastelte ... Maske

;1224;52;76525;2;-5;3;aufgesetzte;100% aufgesetzte Maske

;1225;52;76529;4;2;3;Mörders;100% Maske ... des Mörders

;1226;52;76530;1;2;3;Unnahbarkeit;100% Maske ... Unnahbarkeit

;1227;52;76531;1;-5;2;Pompino;100% Maske ... Pompino

;1228;52;76533;2;-5;3;Pausenhof; 50% Maske ... Pausenhof

;1229;52;76534;1;-3;5;Roriz;100% Roriz ... Maske

;1230;51;76550;16;1;1;spielte; 50% ohne Maske [...] spielte

;1231;51;76555;5;-5;-2;Friseur;100% Friseur und ... Maske

;1232;51;76557;2;4;4;persönlichen; 50% Maske ... persönlichen

;1233;51;76560;3;-5;5;Regina; 66% Maske [...] Regina

;1234;51;76563;3;1;2;r;100% Maske [und ...] r

;1235;51;76564;1;3;3;Mischbild;100% Maske ... Mischbild

;1236;51;76566;2;-5;5;Mr; 50% Maske ... Mr

;1237;51;76567;1;1;2;Irmgard;100% Irmgard ... Maske

;1238;51;76570;3;2;5;Fäuste; 66% Maske ... Fäuste

;1239;51;76579;9;1;5;Heike; 55% die Maske erklärt ... Heike

;1240;51;76581;2;-5;2;Gummiband;100% Gummiband ... Maske

;1241;51;76588;7;-4;3;Peitsche; 71% mit Peitsche [und] Maske

;1242;51;76591;3;-2;-2;Damenstrumpf;100% und einen Damenstrumpf als Maske

;1243;51;76593;2;1;1;mitzunehmen;100% Maske mitzunehmen

;1244;51;76598;5;-3;-3;Layton;100% Professor Layton und die Maske der Wunder

;1245;51;76599;1;-3;-3;standhaft;100% standhaft ... Maske

;1246;50;76632;33;-2;-2;kurz; 54% die Maske [...] kurz

;1247;50;76633;1;-3;-1;ausgefallenste;100% ausgefallenste ... Maske

;1248;50;76636;3;-5;-2;Vajpayee;100% Vajpayee ... - die Maske

;1249;50;76645;9;-3;-2;brauche; 77% brauche ich keine Maske

;1250;50;76647;2;1;5;geschlüpft;100% Maske der ... geschlüpft

;1251;50;76648;1;-3;2;biederen;100% biederen Maske

;1252;50;76649;1;1;3;15;100% Maske ... 15.00

;1253;50;76652;3;1;5;bemalt;100% Maske ... bemalt

;1254;50;76653;1;-2;4;Gummihandschuhe;100% Maske ... Gummihandschuhe

;1255;50;76654;1;-2;-1;versteinerte;100% versteinerte Maske

;1256;50;76656;2;-5;5;FFP; 50% Maske ... FFP

;1257;50;76658;2;-3;-3;Hase;100% Hase mit der Maske

;1258;50;76661;3;2;2;ewigen; 66% Maske ... ewigen

;1259;50;76670;9;2;2;Meisters;100% in der Maske mit des Meisters

;1260;50;76675;5;-1;-1;Kade;100% Doris Kade Maske

;1261;50;76677;2;2;2;Selbstbeherrschung;100% Maske der Selbstbeherrschung

;1262;50;76683;6;2;4;Logo; 66% Maske ... das Logo

;1263;50;76689;6;-2;-1;Codewort;100% Das Codewort [...] Maske 19 in

;1264;49;76699;10;1;1;bekommt; 70% Maske [...] bekommt

;1265;49;76701;2;-2;-2;Theatergruppe; 50% Maske ... Theatergruppe

;1266;49;76705;4;-5;5;Outfit;100% Maske [...] Outfit

;1267;49;76709;4;2;2;Venezia;100% Maske de Venezia

;1268;49;76722;13;1;1;sorgte; 61% sorgte für die Maske und

;1269;49;76723;1;-3;4;ehrbaren;100% Maske ... ehrbaren

;1270;49;76724;1;1;1;ausgerüstet;100% ausgerüstet ... Maske

;1271;49;76730;6;-1;-1;Deine;100% Deine Maske kaschiert den

;1272;49;76738;8;-5;-5;täglich; 75% täglich ... in|die der Maske

;1273;49;76743;5;1;2;verkörpert; 60% verkörpert ... mit|der Maske

;1274;49;76750;7;1;1;D; 57% Maske [...] D

;1275;49;76755;5;-2;-2;Herstellung;100% Herstellung ... der Maske

;1276;49;76757;2;-3;5;Mascara; 50% Maske ... Mascara

;1277;49;76758;1;-5;-2;Kundin;100% Kundin ... Maske

;1278;49;76763;5;1;1;1959; 80% Maske (* ... 1959

;1279;49;76765;2;-3;3;Kostümprobe; 50% Maske ... Kostümprobe

;1280;49;76766;1;-5;5;Maskenbildner;100% Maskenbildner ... Maske

;1281;49;76768;2;-5;-2;Toilette; 50% Maske ... Toilette

;1282;49;76769;1;2;3;Dandys;100% Maske ... Dandys

;1283;49;76775;6;-4;3;Säbel; 66% Säbel [und] Maske

;1284;49;76778;3;1;4;stilisierten;100% Maske ... stilisierten

;1285;49;76779;1;3;5;Sepik-Gebiet;100% Maske ... Sepik-Gebiet

;1286;49;76781;2;-5;-1;Soloalbum;100% Soloalbum Maske

;1287;49;76782;1;-4;-2;AfD;100% Maske ... AfD

;1288;49;76783;1;-4;3;Claptone;100% Claptone ... Maske

;1289;49;76785;2;3;4;Berufsverbandes;100% Maske Sprecher des Berufsverbandes

;1290;49;76790;5;-3;5;Shoppen; 80% die Maske muss bleiben beim|auch ... Shoppen

;1291;49;76793;3;1;1;aufbleiben;100% damit die Maske aufbleiben kann man

;1292;48;76796;3;-5;5;Stiefel; 66% Maske [...] Stiefel

;1293;48;76799;3;-3;-1;korrekte;100% korrekte Handhabung der Maske

;1294;48;76802;3;-5;-5;Deckenstück;100% Deckenstück rausgerissen um an die Maske zu kommen

;1295;48;76808;6;-2;5;Serum; 66% Serum [und] Maske von ...

;1296;48;76809;1;-5;-4;Drehtag;100% Drehtag ... Maske

;1297;48;76810;1;-2;-1;kühlende;100% kühlende Maske

;1298;48;76817;7;2;2;Grauens; 85% Maske des Grauens

;1299;48;76818;1;-5;5;z.B;100% Maske z.B

;1300;48;76819;1;-4;4;überstreift;100% überstreift ... Maske

;1301;48;76823;4;-5;5;Harlekin; 75% Harlekin der Kleinkunst ohne Maske

;1302;48;76824;1;3;5;Odysseus;100% Maske ... Odysseus

;1303;48;76826;2;1;1;verbracht;100% Maske verbracht

;1304;48;76828;2;-2;5;TV-Experte;100% Maske war als TV-Experte

;1305;48;76829;1;-2;-2;Problemen;100% Problemen ... Maske

;1306;48;76836;7;-5;4;ungeschminkt; 71% ungeschminkt zeigen ohne oder in der Maske

;1307;48;76840;4;-4;5;Effelsberg Doris ; 75% Doris Effelsberg und die|Mira Schneider Maske

;1308;48;76841;1;-2;-2;Backstage-Bereich;100% Maske ... Backstage-Bereich

;1309;48;76842;1;2;3;Serienkillers;100% Maske ... Serienkillers

;1310;48;76846;4;-5;5;Selfie; 75% Selfie mit Maske

;1311;48;76850;4;-1;-1;ne;100% ne [...] Maske

;1312;48;76852;2;2;2;Filmstars;100% Maske des Filmstars

;1313;48;76853;1;-5;-1;Fahrgast;100% Fahrgast Maske

;1314;48;76854;1;-5;-3;DNA-Spur;100% DNA-Spur ... Maske

;1315;48;76857;3;-2;4;Boxlegenden;100% Nach Maske kamen weitere spätere Boxlegenden an

;1316;48;76860;3;-5;-3;Steingass;100% Bernd Steingass schuf die Maske aus ...

;1317;48;76862;2;-5;3;Schulfluren; 50% Maske ... Schulfluren

;1318;48;76866;4;1;2;nieste;100% - ohne Maske [-] nieste viel Farbe

;1319;47;76974;108;-3;-3;beim; 54% der Maske [...] beim

;1320;47;76975;1;1;2;schnitzen;100% Maske ... schnitzen

;1321;47;76977;2;-1;-1;entsprechende; 50% Maske entsprechende

;1322;47;76979;2;4;5;Beute; 50% Maske ... Beute

;1323;47;76983;4;3;5;Seoul; 75% Seoul warf sie die Maske

;1324;47;76988;5;2;5;anstrengend; 60% anstrengend mit Maske

;1325;47;76989;1;-2;5;Florett;100% Florett ... Maske

;1326;47;76992;3;-5;4;Schleier; 66% Schleier ... Maske

;1327;47;77003;11;-3;-2;bloß;100% bloß [... der] Maske ... die

;1328;47;77015;12;1;1;angelegt;100% geöffnet und|die Maske [...] angelegt und habe

;1329;47;77025;10;3;5;Händen; 80% man die Maske mit|die gereinigten|in den Händen

;1330;47;77028;3;2;5;Atemwege; 66% Maske ... die Atemwege

;1331;47;77036;8;-5;-2;Tänzer; 62% Tänzer ... in|der|und ... Maske

;1332;47;77040;4;2;2;Hasses;100% Maske des Hasses auf die

;1333;47;77041;1;-5;5;tarnen;100% Maske ... tarnen

;1334;47;77044;3;-5;-3;Imker; 66% Imker haben laut Maske

;1335;47;77048;4;-4;4;Barkley; 75% Maske [...] Barkley

;1336;47;77050;2;-5;-2;Pendler;100% Pendler ... Maske

;1337;47;77052;2;1;5;abgestreift;100% Maske [...] abgestreift

;1338;47;77057;5;1;2;Langenscheid; 80% Harry Maske Langenscheid

;1339;47;77059;2;2;2;Feindes;100% Maske des Feindes

;1340;47;77060;1;2;2;Legalität;100% Maske ... Legalität

;1341;47;77061;1;2;2;Hungers;100% Maske ... Hungers

;1342;47;77062;1;2;2;Ventil;100% Maske ... Ventil

;1343;47;77063;1;-1;-1;selbstgemachte;100% selbstgemachte Maske

;1344;47;77067;4;2;2;Krokodilleder;100% Zoll ... Maske aus Krokodilleder

;1345;47;77068;1;1;1;rumzulaufen;100% Maske rumzulaufen

;1346;46;77071;3;-1;-1;schönsten;100% der schönsten [...] Maske

;1347;46;77134;63;2;5;seinen; 68% der Maske [...] seinen

;1348;46;77141;7;1;1;klebt; 71% in der Maske [...] klebt begleitet womöglich

;1349;46;77144;3;1;1;runterreißt;100% die Maske runterreißt

;1350;46;77146;2;-4;5;Punktsieg;100% Punktsieg [...] Maske

;1351;46;77148;2;1;3;geatmet;100% Maske vorbei geatmet

;1352;46;77150;2;-2;5;Puderquaste;100% Maske ... Puderquaste

;1353;46;77151;1;-1;-1;schwarz-weiße;100% schwarz-weiße Maske

;1354;46;77152;1;-1;-1;stumme;100% stumme Maske

;1355;46;77155;3;-5;-2;bittet; 66% Maske bittet

;1356;46;77156;1;-3;4;Sermond;100% Sermond ... Maske

;1357;46;77157;1;1;5;aufzieht;100% Maske ... aufzieht

;1358;46;77160;3;-5;5;Boxwelt;100% Boxwelt prallten bei Atlas und Maske aufeinander

;1359;46;77161;1;1;5;offenbart;100% Maske ... offenbart

;1360;46;77166;5;1;2;gewöhnen; 80% mit Maske [...] gewöhnen

;1361;46;77169;3;1;5;fotografieren;100% Maske [...] fotografieren

;1362;46;77170;1;-4;-2;Trainingspartner;100% Trainingspartner ... Maske

;1363;46;77172;2;1;1;herumlaufe;100% Maske herumlaufe

;1364;46;77180;8;-1;-1;teuerste; 87% die teuerste [an der] Maske

;1365;46;77181;1;-2;-2;Bahnfahren;100% Bahnfahren ... Maske

;1366;46;77183;2;1;4;Desinfektionsgel;100% Maske [...] Desinfektionsgel

;1367;45;77198;15;-4;-2;setzte; 66% setzte die Maske auf|ab und

;1368;45;77228;30;2;5;Rolle; 46% Maske [... keine] Rolle

;1369;45;77241;13;-2;-2;Alltag; 61% der Alltag [mit] Maske

;1370;45;77254;13;1;1;hilft; 69% Da hilft auch|die und|keine Maske

;1371;45;77269;15;2;2;Macht; 66% Maske [und] Macht

;1372;45;77271;2;-2;-2;dir;100% dir [...] Maske

;1373;45;77306;35;2;5;Luft; 51% der frischen Luft [... die|der|mit|ohne] Maske

;1374;45;77315;9;-5;-3;Wesen; 66% Wesen mit der Maske

;1375;45;77317;2;-4;2;Kostümbildner; 50% Maske ... Kostümbildner

;1376;45;77318;1;-3;3;Fechtjacke;100% Maske ... Fechtjacke

;1377;45;77321;3;-5;2;Rednerpult; 66% Maske ... Rednerpult

;1378;45;77328;7;-3;-2;Söder; 57% Markus Söder mit|CSU ohne Maske

;1379;45;77329;1;-5;-4;Einsiedlerkrebs;100% Einsiedlerkrebs ... Maske

;1380;45;77330;1;2;4;Herausforderer;100% Maske ... Herausforderer

;1381;45;77331;1;1;2;absetzt;100% Maske absetzt

;1382;45;77334;3;2;2;Scheindemokratie;100% Maske der Scheindemokratie

;1383;45;77335;1;-3;1;erboxte;100% erboxte ... Maske

;1384;45;77337;2;-4;-3;Soleri;100% Soleri ... die Maske

;1385;45;77339;2;-1;-1;Jasons;100% Jasons Maske

;1386;45;77340;1;-1;3;Spuckschutz;100% Spuckschutz Maske

;1387;45;77341;1;-5;3;beieinander eng ;100% eng beieinander ... Maske

;;;77345;4;-5;3;beieinander ; 50% Maske [...] beieinander

;1388;44;77361;16;-5;-3;tritt; 62% tritt ... in der Maske auf ...

;1389;44;77362;1;-2;-1;dicke;100% dicke ... Maske

;1390;44;77364;2;3;3;Bändern; 50% Maske ... Bändern

;1391;44;77365;1;2;2;Atemschutzgerätes;100% Maske ... Atemschutzgerätes

;1392;44;77376;11;-5;-3;Leuten; 72% den Leuten ... in|die der Maske auf

;1393;44;77380;4;-5;5;reinigen; 50% Maske leicht zu reinigen

;1394;44;77384;4;-3;3;Mimikry; 75% Mimikry [...] Maske

;1395;44;77409;25;-1;-1;Christian; 76% Christian [...] Maske

;1396;44;77410;1;-5;-2;Gewerke;100% Gewerke ... Maske

;1397;44;77412;2;-5;-5;Tragödie; 50% Maske ... Tragödie

;1398;44;77414;2;2;2;Demokraten;100% Maske des Demokraten

;1399;44;77416;2;-5;-2;Kämpfe; 50% Maske ... Kämpfe

;1400;44;77417;1;-4;4;Berben;100% Maske ... Berben

